ba_spread,imbalance,g_star
1,1,-0.01668267590132343
1,2,-0.0043108395330162365
1,3,0.004310839533016282
1,4,0.01668267590132346
2,1,-0.05428571749423577
2,2,-0.007619046498283953
2,3,0.0076190464982839575
2,4,0.05428571749423579
3,1,-0.061538466512633734
3,2,0.010650882694626669
3,3,-0.010650882694626645
3,4,0.06153846651263375
4,1,0.01999999680606414
4,2,-0.10000001325893039
4,3,0.1000000132589304
4,4,-0.019999996806064124
